idAlu;idCur;nota
92001;1;5
92002;2;3
92003;3;9
92004;4;3
92005;5;11
92006;6;7
92007;7;4
92008;8;4
92009;9;6
92010;10;5
92011;11;5
92012;12;6
92013;13;8
92014;14;5
92015;15;10
92016;16;5
92017;17;10
92018;18;3
92019;19;10
92020;20;7
92021;21;11
92022;22;11
92023;23;4
92024;24;8
92025;25;12
92026;26;5
92027;27;9
92028;28;7
92029;29;3
92030;30;8
92031;31;6
92032;32;3
92033;33;10
92034;34;12
92035;35;11
92036;36;9
92037;37;4
92038;38;3
92039;39;8
92040;40;10
92041;41;11
92042;42;11
92043;43;4
92044;44;6
92045;45;9
92046;46;7
92047;47;3
92048;48;9
92049;49;9
92050;50;8
92051;51;10
92052;52;3
92053;53;11
92054;54;6
92055;55;7
92056;56;6
92057;57;8
92058;58;3
92059;59;3
92060;60;7
92061;61;9
92062;62;6
92063;63;7
92064;64;11
92065;65;12
92066;66;8
92067;67;5
92068;68;7
92069;69;5
92070;70;11
92071;71;12
92072;72;5
92073;73;10
92074;74;9
92075;75;5
92076;76;12
92077;77;3
92078;78;8
92079;79;5
92080;80;4
92081;81;8
92082;82;6
92083;83;4
92084;84;3
92085;85;7
92086;86;7
92087;87;4
92088;88;7
92089;89;6
92090;90;12
92091;91;11
92092;92;3
92093;93;10
92094;94;8
92095;95;5
92096;96;12
92097;97;9
92098;98;3
92099;99;8
92100;100;5
92101;101;6
92102;102;8
92103;103;9
92104;104;3
92105;105;9
92106;106;4
92107;107;10
92108;108;8
92109;109;5
92110;110;12
92111;111;5
92112;112;11
92113;113;9
92114;114;11
92115;115;10
92116;116;4
92117;117;6
92118;118;8
92119;119;9
92120;120;3
92121;121;7
92122;122;3
92123;123;8
92124;124;6
92125;125;5
92126;126;3
92127;127;8
92128;128;11
92129;129;6
92130;130;5
92131;131;9
92132;132;5
92133;133;7
92134;134;3
92135;135;12
92136;136;9
92137;137;11
92138;138;12
92139;139;10
92140;140;10
92141;141;9
92142;142;11
92143;143;3
92144;144;12
92145;145;9
92146;146;3
92147;147;8
92148;148;10
92149;149;3
92150;150;10
92151;151;12
92152;152;3
92153;153;6
92154;154;12
92155;155;6
92156;156;7
92157;157;10
92158;158;4
92159;159;10
92160;160;3
92161;161;10
92162;162;6
92163;163;4
92164;164;12
92165;165;3
92166;166;7
92167;167;4
92168;168;4
92169;169;12
92170;170;5
92171;171;12
92172;172;10
92173;173;8
92174;174;12
92175;175;7
92176;176;7
92177;177;5
92178;178;10
92179;179;5
92180;180;4
92181;181;7
92182;182;9
92183;183;8
92184;184;12
92185;185;3
92186;186;9
92187;187;5
